county_name,total_population,median_income,less_than_high_school,high_school,some_college,bachelors_or_higher,inc_greater_than_ave,greater_than_thirty_percent_have_bachelors
"Adams County, Illinois",67030,43824,.069384963,.366375208,.315548418,.248691411,1,1
"Alexander County, Illinois",8449,28833,.178213091,.399904443,.32513139,.096751075,1,1
"Bond County, Illinois",17904,51946,.085905897,.338620396,.305407707,.270066,0,1
"Boone County, Illinois",53567,61210,.123586957,.357753623,.298550725,.220108696,0,1
"Brown County, Illinois",6897,38696,.248460445,.301279015,.327096163,.123164377,1,1
"Bureau County, Illinois",35083,45692,.090440279,.391039148,.354219807,.164300765,1,1
"Calhoun County, Illinois",5118,44891,.08697318,.408429119,.351724138,.152873563,1,1
"Carroll County, Illinois",15615,44805,.106620382,.37478304,.335854203,.182742375,1,1
"Cass County, Illinois",13648,41544,.161109514,.414199483,.280684105,.144006899,1,1
"Champaign County, Illinois",197867,45262,.06192879,.207644232,.28873833,.441688649,1,0
"Christian County, Illinois",34936,41712,.102650469,.404527885,.350911099,.141910547,1,1
"Clark County, Illinois",16545,43597,.079053254,.360473373,.37443787,.186035503,1,1
"Clay County, Illinois",13927,38016,.074432296,.399215027,.371320437,.15503224,1,1
"Clinton County, Illinois",37395,55278,.091270235,.299135962,.403913,.205680802,0,1
"Coles County, Illinois",53568,36457,.070322274,.325553303,.347901117,.256223306,1,1
"Cook County, Illinois",5172848,53942,.144576804,.234467625,.261840599,.359114973,0,0
"Crawford County, Illinois",19864,41434,.100482236,.32595217,.418659581,.154906013,1,1
"Cumberland County, Illinois",11073,42101,.070699965,.410130144,.372669715,.146500176,1,1
"DeKalb County, Illinois",104026,54002,.073235823,.2644558,.358110764,.304197613,0,0
"De Witt County, Illinois",16672,45347,.074170536,.450232137,.298493942,.177103386,1,1
"Douglas County, Illinois",20012,46941,.165592913,.362593115,.307026374,.164787598,1,1
"DuPage County, Illinois",911481,76581,.065631522,.177362631,.269147589,.487858258,0,0
"Edgar County, Illinois",18776,39904,.0952673,.39323316,.334457733,.177041807,1,1
"Edwards County, Illinois",6707,40430,.070496084,.289527125,.482158399,.157818393,1,1
"Effingham County, Illinois",34232,49509,.056192066,.343427946,.37048765,.229892337,0,1
"Fayette County, Illinois",22007,41269,.129248153,.411212516,.292916123,.166623207,1,1
"Ford County, Illinois",14113,48667,.08051507,.393236168,.332389982,.19385878,0,1
"Franklin County, Illinois",39528,34381,.114329646,.314418928,.430881405,.140370021,1,1
"Fulton County, Illinois",37205,41268,.131961993,.344940867,.371373699,.151723441,1,1
"Gallatin County, Illinois",5773,38003,.163556159,.354937224,.361384459,.120122158,1,1
"Greene County, Illinois",13983,41450,.113696164,.420024927,.320454231,.145824678,1,1
"Grundy County, Illinois",48744,64297,.073774844,.329578213,.400280686,.196366257,0,1
"Hamilton County, Illinois",8453,35032,.110691527,.375973566,.3632287,.150106207,1,1
"Hancock County, Illinois",19227,42857,.069457082,.377211607,.341522596,.211808715,1,1
"Hardin County, Illinois",4402,27578,.13271194,.368397692,.374611629,.124278739,1,1
"Henderson County, Illinois",7462,43450,.094563843,.413906448,.335524652,.156005057,1,1
"Henry County, Illinois",50477,49164,.091318967,.307733456,.366957053,.233990524,0,1
"Iroquois County, Illinois",30068,47323,.096704164,.37254128,.375238471,.155516084,0,1
"Jackson County, Illinois",59864,32169,.076360412,.232590787,.313236544,.377812258,1,0
"Jasper County, Illinois",9752,46546,.07575166,.352010933,.423662632,.148574775,1,1
"Jefferson County, Illinois",39202,41161,.134555251,.337759176,.384471064,.143214509,1,1
"Jersey County, Illinois",22932,53470,.074732188,.348920252,.397126339,.179221221,0,1
"Jo Daviess County, Illinois",22728,50279,.072853279,.371788371,.302569304,.252789047,0,1
"Johnson County, Illinois",12710,41619,.196407879,.309385863,.3547219,.139484357,1,1
