	2011	2012	2013	2014	2015
African American	221	215	229	227	270
Hispanic	1635	1715	1807	1827	1600
White	2390	2232	2139	1966	2700
All	4246	4162	4175	4020	4570
ABC	73	72	70	72.5	
Retention	89.3	89.2	89.6	89.2	
Academic ABC	69	68	69	68	
Technical ABC	87	88	86	85	
Gateway ABC	67	66	66	66	
Foundations ABC	59	59	61	58.3	
Dev Math ABC	51	51	57	48.8	
Dev Read ABC	71	71	64	60.2	
Non-Credit Enrollment	3736	4390	4368	4218	
African American Completers	16	11	12	33	
Hispanic Completers	104	94	137	209	
White Completers	194	222	244	349	
All Completers	314	327	393	591	
